                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
55,1.1371,0.51742,0.87051,1.2871,0.41612,0.85887,0.95696,0.94438,0.97864,0.6961,0.94968,0.46132,0.84266,1.0483,0.33256,0.83994,0.0014753,0.0014753,0.0014753
56,1.1439,0.51943,0.87182,1.2908,0.41763,0.86153,0.95678,0.94046,0.97906,0.68826,0.98938,0.47193,0.84536,1.0599,0.33365,0.83858,0.0014654,0.0014654,0.0014654
57,1.1717,0.52933,0.87189,1.3196,0.42139,0.86074,0.96131,0.94853,0.9864,0.69703,0.95706,0.4655,0.83967,1.0349,0.32586,0.83665,0.0014555,0.0014555,0.0014555
58,1.1331,0.51657,0.86923,1.2758,0.4147,0.85931,0.95525,0.94949,0.98756,0.71302,0.91409,0.44073,0.83842,1.0014,0.31386,0.83213,0.0014456,0.0014456,0.0014456
59,1.1244,0.50876,0.86515,1.2647,0.41179,0.85328,0.95584,0.95198,0.98879,0.7069,0.92971,0.4455,0.83715,1.0289,0.31943,0.83382,0.0014357,0.0014357,0.0014357
60,1.113,0.50763,0.86692,1.2567,0.4014,0.85524,0.95885,0.95476,0.98842,0.70998,0.90872,0.44821,0.83495,0.9867,0.31447,0.82965,0.0014258,0.0014258,0.0014258
61,1.1071,0.5037,0.86584,1.2497,0.40476,0.85438,0.96272,0.95452,0.98832,0.72006,0.89566,0.43453,0.83336,0.97279,0.30978,0.82907,0.0014159,0.0014159,0.0014159
62,1.093,0.50191,0.86124,1.2445,0.40254,0.85232,0.96577,0.95302,0.98804,0.70886,0.93108,0.44931,0.83674,1.0209,0.31456,0.83308,0.001406,0.001406,0.001406
63,1.0852,0.49387,0.86198,1.2239,0.39733,0.84958,0.96483,0.96002,0.99071,0.72904,0.86398,0.42726,0.82778,0.95095,0.29767,0.82362,0.0013961,0.0013961,0.0013961
64,1.0785,0.49277,0.86257,1.2341,0.39423,0.85298,0.97612,0.93968,0.98165,0.72574,0.87474,0.4274,0.82875,0.95786,0.29981,0.82576,0.0013862,0.0013862,0.0013862
65,1.0808,0.49181,0.86489,1.2262,0.39774,0.85533,0.96288,0.96152,0.99089,0.72983,0.86212,0.42797,0.82983,0.94611,0.29299,0.8285,0.0013763,0.0013763,0.0013763
66,1.0722,0.48722,0.86301,1.2076,0.38905,0.8532,0.96432,0.95302,0.99012,0.71899,0.8883,0.42857,0.82761,0.98716,0.30749,0.82624,0.0013664,0.0013664,0.0013664
67,1.0532,0.48285,0.85742,1.1978,0.37977,0.84744,0.96426,0.95402,0.98992,0.733,0.84621,0.41951,0.82606,0.92771,0.29536,0.82272,0.0013565,0.0013565,0.0013565
68,1.046,0.47983,0.86002,1.187,0.3816,0.8488,0.95303,0.96339,0.99023,0.73139,0.85906,0.42383,0.83011,0.94841,0.29977,0.82439,0.0013466,0.0013466,0.0013466
69,1.0525,0.47996,0.85559,1.1796,0.38179,0.84414,0.97207,0.95902,0.99146,0.73896,0.84419,0.41616,0.82676,0.91886,0.28837,0.82181,0.0013367,0.0013367,0.0013367
70,1.0312,0.47733,0.85517,1.1708,0.37572,0.84543,0.97602,0.95952,0.99218,0.73862,0.84732,0.42049,0.82775,0.93014,0.28854,0.82313,0.0013268,0.0013268,0.0013268
71,1.0213,0.47557,0.85638,1.1676,0.3719,0.84707,0.96244,0.95652,0.99063,0.73461,0.82462,0.4147,0.82372,0.91909,0.29205,0.81936,0.0013169,0.0013169,0.0013169
72,1.0209,0.47189,0.85252,1.1692,0.37734,0.84364,0.96939,0.96528,0.99196,0.73615,0.8637,0.42516,0.82619,0.94859,0.29417,0.822,0.001307,0.001307,0.001307
73,1.0441,0.48018,0.85699,1.1869,0.38629,0.84859,0.97773,0.95252,0.99157,0.74548,0.83512,0.40884,0.82449,0.9148,0.28556,0.82119,0.0012971,0.0012971,0.0012971
74,1.0223,0.47233,0.85321,1.1613,0.37531,0.8443,0.96628,0.95961,0.99035,0.74857,0.82253,0.41003,0.82197,0.89755,0.27923,0.81839,0.0012872,0.0012872,0.0012872
75,0.99761,0.46526,0.85012,1.1409,0.36377,0.84286,0.96064,0.96252,0.99107,0.74731,0.81277,0.4001,0.82111,0.89497,0.2807,0.81805,0.0012773,0.0012773,0.0012773
76,0.98708,0.45996,0.84899,1.1243,0.36053,0.84083,0.96998,0.96893,0.99221,0.7577,0.79213,0.39634,0.82025,0.86543,0.26992,0.81382,0.0012674,0.0012674,0.0012674
77,0.98306,0.45571,0.84961,1.1249,0.35842,0.84232,0.9684,0.9649,0.99189,0.75177,0.79698,0.40157,0.81973,0.88043,0.27377,0.81572,0.0012575,0.0012575,0.0012575
78,0.98779,0.46225,0.84937,1.1248,0.35867,0.84139,0.9726,0.95102,0.9912,0.7393,0.83006,0.40895,0.82134,0.92595,0.28507,0.81809,0.0012476,0.0012476,0.0012476
